"
Date","Open
","Close
","High
","Low
","Volume
","positive_score
","negative_score
","neutral_score
"
2024-09-09,554.599976,563.799988,566.599976,554.200012,400844,0.328954,0.126592,0.034454
2024-09-10,562.799988,565.200012,568.799988,561.799988,562133,0.230268,0.088615,0.024118
2024-09-11,566.000000,562.200012,568.400024,560.400024,404249,0.161187,0.062030,0.016882
2024-09-12,569.799988,567.200012,574.599976,561.000000,559811,0.112831,0.043421,0.011818
2024-09-13,567.200012,566.200012,570.200012,565.400024,444840,0.078982,0.030395,0.008272
2024-09-16,563.400024,566.799988,568.599976,562.000000,255393,0.055287,0.021276,0.005791
2024-09-17,568.000000,575.599976,578.400024,567.400024,522316,0.038701,0.014893,0.004053
2024-09-18,575.799988,573.599976,576.200012,571.400024,362309,0.027091,0.010425,0.002837
2024-09-19,577.000000,583.599976,586.599976,574.000000,560781,0.018964,0.007298,0.001986
2024-09-20,581.200012,577.000000,587.400024,575.200012,574785,0.013274,0.005108,0.001390
2024-09-23,577.000000,578.200012,583.400024,575.200012,383899,0.009292,0.003576,0.000973
2024-09-24,583.400024,580.599976,586.599976,572.599976,651666,0.948259,0.029175,0.022566
2024-09-25,580.000000,594.799988,594.799988,578.599976,422679,0.663781,0.020422,0.015796
2024-09-26,599.400024,599.000000,603.400024,594.000000,478608,0.944326,0.043672,0.012002
2024-09-27,600.000000,591.200012,601.400024,590.400024,530315,0.661029,0.030570,0.008401
2024-09-30,588.799988,585.400024,590.400024,581.400024,413751,0.462720,0.021399,0.005881
2024-10-01,588.599976,595.000000,602.000000,588.599976,712772,0.323904,0.014980,0.004117
2024-10-02,598.000000,596.400024,601.599976,592.000000,474026,0.226733,0.010486,0.002882
2024-10-03,595.200012,591.799988,596.400024,589.599976,307424,0.158713,0.007340,0.002017
2024-10-04,590.000000,593.799988,597.400024,584.000000,375034,0.111099,0.005138,0.001412
2024-10-07,595.000000,592.000000,596.400024,587.000000,321809,0.077769,0.003597,0.000988
2024-10-08,590.799988,597.599976,599.400024,589.599976,469199,0.054439,0.002518,0.000692
2024-10-09,596.599976,603.000000,603.799988,595.000000,409270,0.038107,0.001762,0.000484
2024-10-10,602.200012,598.200012,603.000000,593.400024,499049,0.026675,0.001234,0.000339
2024-10-11,597.799988,602.200012,604.200012,596.599976,395716,0.018672,0.000864,0.000237
2024-10-14,604.000000,609.000000,610.799988,603.599976,530129,0.013071,0.000604,0.000166
2024-10-15,613.599976,597.200012,616.599976,594.599976,627581,0.009149,0.000423,0.000116
2024-10-16,594.000000,597.200012,597.400024,590.000000,502827,0.932164,0.048049,0.019787
2024-10-17,586.000000,611.599976,621.400024,585.000000,1125216,0.644777,0.304844,0.050379
2024-10-18,606.799988,602.799988,610.000000,599.599976,551674,0.885883,0.069790,0.044327
2024-10-21,602.799988,598.000000,604.200012,597.400024,412325,0.819283,0.130136,0.050581
2024-10-22,596.599976,597.799988,598.599976,589.599976,444172,0.573498,0.091095,0.035407
