,Open,Close,High,Low,positive_score,negative_score,neutral_score
2024-10-07,2610.949951171875,2602.659912109375,2611.550048828125,2586.989990234375,0.9582064747810364,0.03315494954586029,0.008638555184006691
2024-10-08,2583.7900390625,2587.889892578125,2598.050048828125,2574.929931640625,0.0,0.0,0.0
2024-10-09,2585.7099609375,2594.909912109375,2598.949951171875,2577.360107421875,0.0,0.0,0.0
2024-10-10,2592.080078125,2573.909912109375,2597.159912109375,2562.27001953125,0.0,0.0,0.0
2024-10-11,2571.669921875,2588.719970703125,2591.659912109375,2566.31005859375,0.0,0.0,0.0
2024-10-14,2591.510009765625,2598.25,2598.25,2579.010009765625,0.9163026809692383,0.05304544046521187,0.030651846900582314
2024-10-15,2601.889892578125,2577.070068359375,2619.570068359375,2577.070068359375,0.957345187664032,0.03466896340250969,0.007985853590071201
2024-10-16,2563.93994140625,2580.090087890625,2585.5,2558.860107421875,0.9175922274589539,0.050590306520462036,0.03181752562522888
2024-10-17,2587.719970703125,2585.81005859375,2598.52001953125,2583.300048828125,0.9223898649215698,0.04814332351088524,0.029466858133673668
2024-10-18,2573.409912109375,2594.300048828125,2599.949951171875,2572.47998046875,0.0,0.0,0.0
2024-10-21,2591.10009765625,2576.199951171875,2602.510009765625,2571.93994140625,0.9565620422363281,0.03457702696323395,0.008860865607857704
2024-10-22,2579.43994140625,2571.510009765625,2580.989990234375,2550.27001953125,0.0,0.0,0.0
2024-10-23,2573.320068359375,2581.330078125,2588.52001953125,2565.159912109375,0.9373159408569336,0.04289901256561279,0.019785021897405386
2024-10-24,2578.889892578125,2578.090087890625,2600.139892578125,2576.570068359375,0.9228377342224121,0.03963072970509529,0.037531524896621704
2024-10-25,2575.85009765625,2592.280029296875,2601.570068359375,2574.800048828125,0.9274575710296631,0.045815180987119675,0.026727307587862015
2024-10-28,2601.840087890625,2624.090087890625,2627.699951171875,2595.830078125,0.918185293674469,0.05243167653679848,0.029383018612861633
2024-10-29,2632.110107421875,2610.77001953125,2639.52001953125,2610.77001953125,0.0,0.0,0.0
2024-10-30,2604.590087890625,2578.3798828125,2608.280029296875,2571.2099609375,0.0,0.0,0.0
2024-10-31,2556.570068359375,2542.409912109375,2562.60009765625,2535.330078125,0.9575337767601013,0.034069254994392395,0.00839693658053875
